"","Var1","Freq"
"1","",623365
"2","apartments",4
"3","BDRC",1
"4","college",2
"5","commercial",21
"6","construction",2
"7","demolished",2
"8","dining hall",1
"9","farm",11
"10","farm_auxiliary",2
"11","garage",1
"12","government",1
"13","greenhouse",7
"14","hospital",3
"15","hotel",63
"16","house",914
"17","hut",9
"18","industrial",5
"19","INF",2
"20","library",1
"21","manufacture",1
"22","mosque",1
"23","office",2
"24","pratichhya",1
"25","public",4
"26","residential",358
"27","retail",3
"28","school",39
"29","service",2
"30","shed",1
"31","temple",2
"32","yes",83558
