"","Var1","Freq"
"1","",757570
"2","bus_stop",78
"3","crossing",5
"4","cycleway",1
"5","footstreet",4
"6","footway",209
"7","ford",1
"8","living_street",106
"9","mini_roundabout",2
"10","path",1572
"11","pedestrian",23
"12","primary",62
"13","primary_link",2
"14","residential",2011
"15","road",166
"16","secondary",69
"17","secondary_link",2
"18","service",229
"19","speed_camera",1
"20","steps",37
"21","tertiary",210
"22","tertiary_link",15
"23","track",1193
"24","trunk",56
"25","turning_circle",2
"26","unclassified",798
"27","yes",3
