"","Var1","Freq"
"1","",189709
"3","atm",6
"4","bank",32
"5","bar",1
"6","bench",4
"7","bicycle_repair_station",2
"8","bureau_de_change",1
"10","bus_station",3
"11","cafe",13
"12","car_decoration",1
"13","car_wash",4
"16","clinic",5
"17","college",6
"18","community_centre",6
"20","dentist",3
"21","drinking_water",4
"22","driving_school",4
"23","embassy",1
"26","fast_food",5
"27","fountain",4
"28","fuel",23
"29","hospital",5
"31","kindergarten",5
"32","language_schoo",1
"33","library",2
"35","marketplace",5
"36","motorcycle_parking",1
"37","nightclub",1
"38","parking",1
"39","parking_space",1
"40","pharmacy",18
"41","place_of_worship",57
"42","police",7
"47","radio",1
"48","recycling",1
"49","restaurant",51
"50","school",48
"53","social_facility",1
"54","studio",2
"56","taxi",1
"57","telephone",1
"59","toilets",3
"60","townhall",4
"61","university",1
"62","vending_machine",2
"63","veterinary",4
