"","Var1","Freq"
"1","2016-04-25",324
"2","2016-04-26",4651
"3","2016-04-27",755
"4","2016-04-28",4627
"5","2016-04-29",6813
"6","2016-05-01",9230
"7","2016-05-02",7251
"8","2016-05-03",5165
"9","2016-05-04",1363
"10","2016-05-05",5128
"11","2016-05-06",1563
"12","2016-05-07",52
"13","2016-05-08",846
"14","2016-05-09",3416
"15","2016-05-10",8722
"16","2016-05-11",9000
"17","2016-05-12",11744
"18","2016-05-13",16097
"19","2016-05-14",6054
"20","2016-05-15",2337
"21","2016-05-16",6577
"22","2016-05-17",4777
"23","2016-05-18",15313
"24","2016-05-19",7411
"25","2016-05-20",10640
"26","2016-05-21",1455
"27","2016-05-22",2972
"28","2016-05-23",11162
"29","2016-05-24",14992
"30","2016-05-25",9624
