"","Var1","Freq"
"1","2tug4bug",2
"13","advent_udaya",1
"39","arasure",75
"42","Ariston Aristarkhov",1
"46","Ashish Bastola",3
"49","Ashok Thapa",2
"53","ayushupreti22",357
"61","Bhakti Devkota",2
"64","Bibek Gurung",27
"69","bikram26",5915
"73","bishal_",16
"74","Bishal9841",9255
"92","Chandra Mohan",12
"96","Chintan Timsina",1
"102","Christoph Lotz",3
"118","czhunty",3
"131","didier2020",1
"133","Dikshya Dulal",1
"138","DreamerShristi",369
"149","Evgeny  Gorbachev",1
"162","gaurab basnet",35607
"163","g_binod",17
"199","Ilan Mond",4
"214","JasnaBudhathoki",35399
"230","Kabikc",8
"231","KABIRAJ ROKAYA",2396
"249","Krishna Ale",14
"253","kuberM",2607
"283","Manoj Thapa",26766
"284","MapHimalaya",217
"299","meadhikari",2
"301","MeghaShrestha",2199
"323","m-prol",2
"327","Mrnprabhat",4789
"348","Nilk",9
"350","Nirab Pudasaini",5394
"357","Nodes&Roads",210
"370","Parassrest",8332
"371","Paroparo13",1
"384","PlaneMad",1
"387","Poshan",296
"394","pragati28",426
"396","pratixa",84
"397","ProjectThis",302
"400","R0bst3r",1
"402","Rajan Kumar Adhikari",561
"404","RanjuWagle",120
"406","ratrun",1
"426","Ro Sun",39685
"438","sagar karki",5449
"439","Sagar Mahat",9
"449","Sandpthapa",13
"459","SauravGautam",5954
"472","Sharad KC",216
"477","shreeking",1562
"494","srijana subedi",135
"523","tomcopp",42
