"","Var1","Freq"
"1","",75136
"3","atm",3
"4","bank",8
"5","bar",1
"10","bus_station",1
"11","cafe",4
"16","clinic",1
"17","college",2
"18","community_centre",1
"22","driving_school",1
"25","fast_food",2
"26","fountain",4
"27","fuel",10
"28","hospital",1
"32","library",1
"34","marketplace",2
"39","party palace",1
"40","pharmacy",2
"41","place_of_worship",25
"42","police",3
"47","radio",1
"49","restaurant",10
"50","school",17
"54","studio",1
"56","taxi",1
"57","telephone",1
"60","townhall",3
"61","university",1
