"","Var1","Freq"
"1","",763183
"2","agriculture",1
"3","atm",27
"4","bank",69
"5","bar",8
"6","bench",16
"7","bicycle_repair_station",3
"8","bureau_de_change",10
"9","bureau_de_change;restaurant",1
"10","bus_station",20
"11","cafe",58
"12","car_decoration",1
"13","car_wash",6
"14","childcare",2
"15","cinema",5
"16","clinic",11
"17","college",21
"18","community_centre",9
"19","courthouse",2
"20","dentist",4
"21","drinking_water",27
"22","driving_school",6
"23","embassy",1
"24","events_venue",1
"25","fast_food",15
"26","fountain",6
"27","fuel",33
"28","hospital",45
"29","hot_spring",1
"30","kindergarten",9
"31","language_schoo",1
"32","library",10
"33","love_hotel",1
"34","marketplace",6
"35","motorcycle_parking",2
"36","nightclub",4
"37","parking",11
"38","parking_space",3
"39","party palace",1
"40","pharmacy",45
"41","place_of_worship",143
"42","police",22
"43","post_office",2
"44","prison",2
"45","pub",2
"46","public_building",6
"47","radio",1
"48","recycling",1
"49","restaurant",266
"50","school",211
"51","shelter",10
"52","shop",1
"53","social_facility",3
"54","studio",8
"55","swimming_pool",1
"56","taxi",6
"57","telephone",3
"58","theatre",1
"59","toilets",26
"60","townhall",10
"61","university",3
"62","vending_machine",2
"63","veterinary",10
"64","waste_disposal",1
"65","yes",1
