"","Var1","Freq"
"1","",671610
"2","apartments",4
"3","BDRC",1
"4","college",2
"5","commercial",20
"6","construction",2
"7","demolished",2
"8","dining hall",1
"9","farm",11
"10","farm_auxiliary",2
"11","farmland",1
"12","garage",1
"13","government",1
"14","greenhouse",7
"15","hospital",2
"16","hotel",62
"17","house",1514
"18","hut",9
"19","industrial",5
"20","INF",2
"21","library",1
"22","manufacture",1
"23","mosque",1
"24","office",2
"25","pratichhya",1
"26","public",4
"27","residential",358
"28","retail",3
"29","school",35
"30","service",2
"31","shed",1
"32","temple",2
"33","yes",90757
