"","Var1","Freq"
"1","",770988
"2","bus_stop",79
"3","crossing",4
"4","cycleway",1
"5","footstreet",4
"6","footway",225
"7","ford",1
"8","living_street",71
"9","mini_roundabout",2
"10","path",1618
"11","pedestrian",18
"12","primary",101
"13","primary_link",1
"14","residential",2082
"15","road",159
"16","secondary",68
"17","secondary_link",2
"18","service",225
"19","speed_camera",1
"20","steps",37
"21","tertiary",196
"22","tertiary_link",12
"23","track",1231
"24","trunk",60
"25","turning_circle",2
"26","unclassified",779
"27","yes",2
