"","Var1","Freq"
"1","2tug4bug",2
"2","4rch",66
"3","715371",226
"4","7of9",21609
"5","Aa See shh",2
"6","Aashish Tripathee (Adyota)",833
"7","Abeightol",72
"8","abel801",2
"9","Abinash Neupane",68
"10","Acn567",19
"11","Adduko",244
"12","adev123",65
"13","advent_udaya",1
"14","advmap",5
"15","afonin",113
"16","ajay8808",34
"17","AlaskaDave",5
"18","Aleks-Berlin",14
"19","Alex-7",68
"20","Alexander Deynichenko",108
"21","AlexSR",1
"22","Alfred_Gulz",537
"23","alishha",2436
"24","almor123",354
"25","amitraj mulmi",4
"26","amritkarma",124
"27","AndrewBuck",14
"28","andrewevanjames",254
"29","andrewno",35
"30","andygol",1
"31","Anita Paudel",4
"32","anjelz",1
"33","anjugiri1",84
"34","Anna Lello-Smith",176
"35","Annalisa_T",663
"36","Anne72",4
"37","AnnMar",22
"38","AntonioCarvalho",21
"39","Anup Adhikari",35
"40","anupsth",1
"41","arasure",1614
"42","archaeo",677
"43","archi",933
"44","Ariston Aristarkhov",1
"45","Arjun1_pokhara",2
"46","artec",1
"47","Ashim Bajracharya",3
"48","Ashish Bastola",4
"49","Ashish Thapa",24557
"50","ashok dhakal",5
"51","ashok kavreli",24
"52","Ashok Thapa",4
"53","Aurimas Fišeras",3
"54","aweverka",438
"55","Ayane",27
"56","ayushupreti22",3493
"57","azimut400gon",2
"58","B0k",244
"59","bahnpirat",279
"60","bakhto",575
"61","Barbara Weibel",2
"62","bavario",32
"63","Bhakti Devkota",2
"64","BH Gunpowder",138
"65","bhuvaneshwar",15
"66","Bibek Gurung",27
"67","bibekkhadka",3
"68","bigalxyz123",803
"69","Bikal061",10
"70","Bikashgyawali",1
"71","bikram26",5736
"72","Biltwon",171
"73","binay1",1
"74","birenra",180
"75","bishal_",16
"76","Bishal9841",46019
"77","BishnuBastola",20
"78","BlackFishMethod",18
"79","blauaninepal",3
"80","bookbugs",8183
"81","bostonsbh",15
"82","Brad_B",623
"83","breffniw",144
"84","Bruckmann-Karto",9
"85","bshaw36",38
"86","byronbay",51
"87","calfarome",257
"88","Camillex9",52
"89","candyapple",11
"90","CanvecImports",95
"91","Celada",46
"92","cgu66",1
"93","ChandraGautam",1
"94","Chandra Mohan",12
"95","Chetan_Gowda",16
"96","chihchun",4
"97","Ching_Mtn",60
"98","Chintan Timsina",1
"99","chiranjibi",2
"100","chocacao",167
"101","chrischan",938
"102","ChrisNixon",118
"103","ChrissW-R1",8
"104","Christoph Lotz",3
"105","City Mobile Clinic",1
"106","ck-york",407
"107","Classofmrlytle",50
"108","Claudio Acosta",1
"109","Claudius Henrichs",4
"110","CloCkWeRX",14
"111","codavr",538
"112","colonia",895
"113","Constable",1
"114","CrapMapper",162
"115","CRCulver",31
"116","CSM123",37
"117","c-yam giri",62
"118","Cyrille37",47
"119","CyrusDreams",28
"120","czhunty",3
"121","DaCor",51
"122","Daisyfields75",409
"123","danbjoseph",1596
"124","Danil Vinokurov",3
"125","dannykath",21
"126","DB Purja",5606
"127","dbusse",2
"128","dearlove",225
"129","Denis des Clayes",41
"130","DevinW",13
"131","Dev Narayan Paudel",33
"132","Dhruba Rajbanshi",1
"133","didier2020",1
"134","diemilli1986",645
"135","Dikshya Dulal",8
"136","Dima M",16281
"137","Dipeshlama",20
"138","Divjo",11042
"139","Double_wasabi",233
"140","DreamerShristi",473
"141","Dr-Mx",2
"142","dsf1991",154
"143","easyX",286
"144","edtha",2308
"145","Eleanor12",1435
"146","Eliza Pearce",294
"147","Emmece",860
"148","emvee",25
"149","etajin",2
"150","eul",519
"151","Evgeny  Gorbachev",1
"152","Farras",75
"153","Fidez",23
"154","Fliss",45
"155","freeExec",267
"156","frinny",18
"157","FTA",18768
"158","fullafan",31
"159","FvGordon",34
"160","fx99",129
"161","Gabor Szalma",1
"162","GanDhi",164
"163","ganeshanh",506
"164","gaurab basnet",67860
"165","g_binod",9
"166","Gehendra Gurung",56
"167","GeoCrazy",1
"168","GeoffJones",1
"169","Geofreund1",4701
"170","geolife",23
"171","geow",1
"172","GerdP",1
"173","giovand",1
"174","gormur",4
"175","gps-newcomer",1
"176","grg dhiraj",7
"177","gvmsia",268
"178","gwilym1234",62
"179","hadhuey",1444
"180","Hagellach37",826
"181","hami1981",177
"182","HannahKist",114
"183","Hans Wurst",1681
