"","Var1","Freq"
"1","1",677353
"2","2",71121
"3","3",18718
"4","4",6544
"5","5",2029
"6","6",1032
"7","7",403
"8","8",239
"9","9",172
"10","10",111
"11","11",45
"12","12",31
"13","13",14
"14","14",9
"15","15",27
"16","16",42
"17","17",14
"18","18",7
"19","19",6
"20","21",8
"21","22",3
"22","23",5
"23","24",1
"24","25",3
"25","26",1
"26","27",2
"27","30",2
"28","31",1
"29","32",2
"30","33",1
"31","36",1
"32","37",2
"33","38",4
"34","39",1
"35","41",1
"36","43",1
"37","44",2
"38","47",1
"39","54",1
"40","57",1
"41","59",1
"42","71",1
"43","72",1
"44","89",1
"45","95",1
"46","101",1
"47","109",1
"48","184",1
