"","Var1","Freq"
"1","2008-09-04",10
"2","2008-09-05",41
"3","2008-12-06",53
"4","2009-01-06",45
"5","2009-02-09",89
"6","2009-05-02",8
"7","2009-11-22",1
"8","2010-01-05",194
"9","2010-08-08",1
"10","2010-08-27",67
"11","2010-08-28",1
"12","2010-08-30",97
"13","2010-11-13",821
"14","2010-11-14",29
"15","2010-11-20",1
"16","2011-04-11",1
"17","2011-04-12",3
"18","2011-04-17",1
"19","2011-05-01",184
"20","2011-05-11",4
"21","2011-05-19",1
"22","2011-06-12",2
"23","2011-06-29",1
"24","2011-06-30",13
"25","2011-07-04",14
"26","2011-07-05",9
"27","2011-07-06",67
"28","2011-07-07",39
"29","2011-07-08",8
"30","2011-07-19",10
"31","2011-08-02",43
"32","2011-08-05",113
"33","2011-08-06",19
"34","2011-08-07",39
"35","2011-08-08",54
"36","2011-08-11",9
"37","2011-08-17",7
"38","2011-08-18",11
"39","2011-08-26",24
"40","2011-09-20",18560
"41","2011-09-25",337
"42","2011-09-26",3
"43","2011-09-27",8
"44","2011-10-29",2
"45","2011-10-30",654
"46","2011-11-23",105
"47","2011-12-01",142
"48","2011-12-20",24
"49","2011-12-26",21
"50","2011-12-29",22
"51","2011-12-30",2
"52","2012-02-09",1
"53","2012-03-01",9
"54","2012-03-02",9
"55","2012-03-18",552
"56","2012-03-19",31
"57","2012-03-20",261
"58","2012-04-15",250
"59","2012-04-20",13
"60","2012-04-30",10
"61","2012-05-06",1
"62","2012-05-10",906
"63","2012-05-11",7
"64","2012-07-02",2
"65","2012-07-03",1
"66","2012-08-18",3
"67","2012-09-09",9
"68","2012-10-04",305
"69","2012-10-11",9
"70","2012-10-12",566
"71","2012-10-14",4
"72","2012-10-18",1
"73","2012-10-21",15
"74","2012-10-24",745
"75","2012-11-02",1
"76","2012-11-03",77
"77","2012-11-07",50
"78","2012-11-08",103
"79","2012-11-09",3
"80","2012-11-13",2
"81","2012-11-16",828
"82","2012-11-19",482
"83","2012-12-02",209
"84","2012-12-09",4
"85","2012-12-14",1
"86","2012-12-20",72
"87","2012-12-29",23
"88","2012-12-31",8
"89","2013-01-26",1
"90","2013-02-03",114
"91","2013-02-04",59
"92","2013-02-05",14
"93","2013-02-06",19
"94","2013-02-08",2
"95","2013-03-15",10
"96","2013-03-16",70
"97","2013-03-23",1
"98","2013-03-27",322
"99","2013-04-09",734
"100","2013-04-27",27
"101","2013-05-04",3626
"102","2013-05-10",67
"103","2013-05-27",1
