"","Var1","Freq"
"1","1",628839
"2","2",56884
"3","3",14956
"4","4",4377
"5","5",1514
"6","6",918
"7","7",376
"8","8",178
"9","9",56
"10","10",68
"11","11",41
"12","12",21
"13","13",10
"14","14",11
"15","15",27
"16","16",39
"17","17",16
"18","18",7
"19","19",2
"20","20",4
"21","21",5
"22","22",4
"23","23",1
"24","24",3
"25","25",1
"26","27",2
"27","28",2
"28","29",1
"29","31",1
"30","32",2
"31","34",1
"32","36",2
"33","37",3
"34","38",1
"35","39",1
"36","40",2
"37","43",2
"38","47",1
"39","54",1
"40","57",1
"41","59",1
"42","69",1
"43","72",1
"44","89",1
"45","95",1
"46","101",1
"47","108",1
"48","184",1
